Session,Index,Timestamp,Date,Time,O2 Saturation,Beats / min,Perfusion Index,Pleth Variability,Breaths / min
0,1,1778672295,5/13/26,2:38:15 PM,95,80,1.6,17,24
0,2,1778672296,5/13/26,2:38:16 PM,95,80,1.6,17,24
0,3,1778672297,5/13/26,2:38:17 PM,94,80,1.6,17,24
0,4,1778672298,5/13/26,2:38:18 PM,94,80,1.5,17,24
0,5,1778672299,5/13/26,2:38:19 PM,94,80,1.5,17,24
0,6,1778672300,5/13/26,2:38:20 PM,94,80,1.5,17,25
0,7,1778672301,5/13/26,2:38:21 PM,94,80,1.6,17,25
0,8,1778672302,5/13/26,2:38:22 PM,94,80,1.6,17,25
0,9,1778672303,5/13/26,2:38:23 PM,94,80,1.6,17,25
0,10,1778672304,5/13/26,2:38:24 PM,94,79,1.6,16,25
0,11,1778672305,5/13/26,2:38:25 PM,94,79,1.6,16,25
0,12,1778672306,5/13/26,2:38:26 PM,94,79,1.6,16,25
0,13,1778672307,5/13/26,2:38:27 PM,94,79,1.7,16,25
0,14,1778672308,5/13/26,2:38:28 PM,93,82,1.6,16,26
0,15,1778672309,5/13/26,2:38:29 PM,93,82,1.6,16,26
0,16,1778672310,5/13/26,2:38:30 PM,93,81,1.6,16,26
