Session,Index,Timestamp,Date,Time,O2 Saturation,Beats / min,Perfusion Index,Pleth Variability,Breaths / min
0,1,1780995495,6/9/26,11:58:15 AM,99,64,2.5,--,--
0,2,1780995496,6/9/26,11:58:16 AM,99,64,2.5,32,--
0,3,1780995497,6/9/26,11:58:17 AM,99,64,20,32,--
0,4,1780995498,6/9/26,11:58:18 AM,99,64,13,32,--
0,5,1780995499,6/9/26,11:58:19 AM,99,70,12,32,--
0,6,1780995500,6/9/26,11:58:20 AM,99,75,10,32,--
0,7,1780995501,6/9/26,11:58:21 AM,99,75,10,32,--
0,8,1780995502,6/9/26,11:58:22 AM,99,75,9.8,32,--
0,9,1780995503,6/9/26,11:58:23 AM,99,75,6.2,32,--
0,10,1780995504,6/9/26,11:58:24 AM,99,76,4.7,32,--
0,11,1780995505,6/9/26,11:58:25 AM,99,75,5.5,32,--
0,12,1780995506,6/9/26,11:58:26 AM,99,75,5.7,32,--
0,13,1780995507,6/9/26,11:58:27 AM,99,75,5.5,32,--
0,14,1780995508,6/9/26,11:58:28 AM,98,75,5.1,32,--
0,15,1780995509,6/9/26,11:58:29 AM,98,74,4.8,32,--
0,16,1780995510,6/9/26,11:58:30 AM,98,73,4.7,32,--
0,17,1780995511,6/9/26,11:58:31 AM,98,73,4.9,32,--
0,18,1780995512,6/9/26,11:58:32 AM,98,71,5.1,32,--
0,19,1780995513,6/9/26,11:58:33 AM,98,71,5.1,32,--
0,20,1780995514,6/9/26,11:58:34 AM,98,72,5.2,32,--
0,21,1780995515,6/9/26,11:58:35 AM,98,72,5.2,32,--
0,22,1780995516,6/9/26,11:58:36 AM,98,72,5.2,32,--
0,23,1780995517,6/9/26,11:58:37 AM,98,72,6.3,32,--
0,24,1780995518,6/9/26,11:58:38 AM,98,68,6.8,32,--
0,25,1780995519,6/9/26,11:58:39 AM,98,73,6.9,32,--
0,26,1780995520,6/9/26,11:58:40 AM,98,73,6.9,32,--
0,27,1780995521,6/9/26,11:58:41 AM,98,72,7,32,--
0,28,1780995522,6/9/26,11:58:42 AM,98,64,7,32,--
0,29,1780995523,6/9/26,11:58:43 AM,98,63,7,32,--
0,30,1780995524,6/9/26,11:58:44 AM,98,62,7,32,--
0,31,1780995525,6/9/26,11:58:45 AM,98,62,6.9,32,--
0,32,1780995526,6/9/26,11:58:46 AM,98,62,6.9,32,--
0,33,1780995527,6/9/26,11:58:47 AM,98,60,6.8,32,--
0,34,1780995528,6/9/26,11:58:48 AM,98,59,6.8,32,--
0,35,1780995529,6/9/26,11:58:49 AM,98,61,6.8,32,--
0,36,1780995530,6/9/26,11:58:50 AM,98,61,7,32,--
0,37,1780995531,6/9/26,11:58:51 AM,98,63,7,32,--
0,38,1780995532,6/9/26,11:58:52 AM,98,64,7.1,32,--
0,39,1780995533,6/9/26,11:58:53 AM,98,64,7.1,32,--
0,40,1780995534,6/9/26,11:58:54 AM,98,65,7.1,33,--
0,41,1780995535,6/9/26,11:58:55 AM,98,65,7.2,33,--
0,42,1780995536,6/9/26,11:58:56 AM,98,65,7.5,33,--
0,43,1780995537,6/9/26,11:58:57 AM,98,66,7.5,33,--
0,44,1780995538,6/9/26,11:58:58 AM,98,67,7.5,33,--
0,45,1780995539,6/9/26,11:58:59 AM,98,67,7.5,33,--
0,46,1780995540,6/9/26,11:59:00 AM,98,68,7.6,33,--
0,47,1780995541,6/9/26,11:59:01 AM,98,67,7.6,33,--
0,48,1780995542,6/9/26,11:59:02 AM,97,67,7.6,33,--
0,49,1780995543,6/9/26,11:59:03 AM,97,68,7.9,33,--
0,50,1780995544,6/9/26,11:59:04 AM,97,68,8.3,33,--
0,51,1780995545,6/9/26,11:59:05 AM,97,68,9.8,33,--
0,52,1780995546,6/9/26,11:59:06 AM,97,68,9.8,33,--
0,53,1780995547,6/9/26,11:59:07 AM,97,68,12,33,13
0,54,1780995548,6/9/26,11:59:08 AM,97,68,12,33,13
0,55,1780995549,6/9/26,11:59:09 AM,97,70,11,34,13
0,56,1780995550,6/9/26,11:59:10 AM,97,70,8.8,34,13
0,57,1780995551,6/9/26,11:59:11 AM,97,70,8.1,34,12
0,58,1780995552,6/9/26,11:59:12 AM,97,70,8.3,34,12
0,59,1780995553,6/9/26,11:59:13 AM,97,72,7.9,34,12
0,60,1780995554,6/9/26,11:59:14 AM,97,72,7.7,34,12
0,61,1780995556,6/9/26,11:59:16 AM,97,71,7.9,34,12
0,62,1780995557,6/9/26,11:59:17 AM,97,71,8.2,34,12
0,63,1780995558,6/9/26,11:59:18 AM,97,70,8.6,34,12
0,64,1780995559,6/9/26,11:59:19 AM,97,70,8.6,34,12
0,65,1780995560,6/9/26,11:59:20 AM,97,69,9.1,34,12
0,66,1780995561,6/9/26,11:59:21 AM,97,66,9.3,34,12
0,67,1780995562,6/9/26,11:59:22 AM,97,66,10,35,12
0,68,1780995563,6/9/26,11:59:23 AM,97,64,10,35,12
0,69,1780995564,6/9/26,11:59:24 AM,97,64,10,35,12
0,70,1780995565,6/9/26,11:59:25 AM,97,64,11,35,12
0,71,1780995566,6/9/26,11:59:26 AM,97,64,11,35,12
0,72,1780995567,6/9/26,11:59:27 AM,97,64,10,35,12
0,73,1780995568,6/9/26,11:59:28 AM,97,65,10,35,12
0,74,1780995569,6/9/26,11:59:29 AM,97,65,10,35,12
0,75,1780995570,6/9/26,11:59:30 AM,97,66,10,35,12
0,76,1780995571,6/9/26,11:59:31 AM,97,67,10,35,12
0,77,1780995572,6/9/26,11:59:32 AM,97,67,9.9,36,12
0,78,1780995573,6/9/26,11:59:33 AM,97,67,9.9,36,13
0,79,1780995574,6/9/26,11:59:34 AM,97,68,9.8,36,13
0,80,1780995575,6/9/26,11:59:35 AM,97,69,9.6,36,13
0,81,1780995576,6/9/26,11:59:36 AM,97,69,9.7,36,13
0,82,1780995577,6/9/26,11:59:37 AM,97,69,9.6,36,14
0,83,1780995578,6/9/26,11:59:38 AM,97,70,9.6,36,14
0,84,1780995579,6/9/26,11:59:39 AM,97,70,9.6,36,14
0,85,1780995580,6/9/26,11:59:40 AM,97,71,9.6,36,14
0,86,1780995581,6/9/26,11:59:41 AM,97,71,9.5,36,15
0,87,1780995582,6/9/26,11:59:42 AM,97,72,9.5,36,15
0,88,1780995583,6/9/26,11:59:43 AM,97,72,9.5,36,15
0,89,1780995584,6/9/26,11:59:44 AM,97,72,9.5,36,15
0,90,1780995585,6/9/26,11:59:45 AM,97,72,9.5,36,15
0,91,1780995586,6/9/26,11:59:46 AM,97,73,9.7,36,15
0,92,1780995587,6/9/26,11:59:47 AM,97,73,8.3,36,16
0,93,1780995588,6/9/26,11:59:48 AM,97,74,7.7,37,16
0,94,1780995589,6/9/26,11:59:49 AM,97,75,7.4,37,16
0,95,1780995590,6/9/26,11:59:50 AM,97,75,7.2,37,16
0,96,1780995591,6/9/26,11:59:51 AM,97,75,7,37,15
0,97,1780995592,6/9/26,11:59:52 AM,97,75,7,37,15
0,98,1780995593,6/9/26,11:59:53 AM,97,75,6.8,37,15
0,99,1780995594,6/9/26,11:59:54 AM,97,74,7.7,37,15
0,100,1780995595,6/9/26,11:59:55 AM,97,73,7.8,37,15
0,101,1780995596,6/9/26,11:59:56 AM,97,72,7.9,37,15
0,102,1780995597,6/9/26,11:59:57 AM,97,72,8.3,37,15
0,103,1780995598,6/9/26,11:59:58 AM,97,72,8.3,37,15
0,104,1780995599,6/9/26,11:59:59 AM,97,71,7.9,37,15
0,105,1780995600,6/9/26,12:00:00 PM,97,70,7.6,37,15
0,106,1780995601,6/9/26,12:00:01 PM,97,70,7.3,37,15
0,107,1780995602,6/9/26,12:00:02 PM,97,70,7.2,37,15
0,108,1780995603,6/9/26,12:00:03 PM,97,70,7.2,37,15
0,109,1780995604,6/9/26,12:00:04 PM,97,70,7.2,37,15
0,110,1780995605,6/9/26,12:00:05 PM,97,70,7.2,37,14
0,111,1780995606,6/9/26,12:00:06 PM,97,69,7.2,37,14
0,112,1780995607,6/9/26,12:00:07 PM,97,71,10,37,14
0,113,1780995608,6/9/26,12:00:08 PM,97,89,10,37,14
0,114,1780995609,6/9/26,12:00:09 PM,97,99,11,37,15
0,115,1780995610,6/9/26,12:00:10 PM,97,104,11,37,15
0,116,1780995611,6/9/26,12:00:11 PM,97,104,11,37,14
0,117,1780995612,6/9/26,12:00:12 PM,97,104,11,37,14
0,118,1780995613,6/9/26,12:00:13 PM,97,105,11,37,14
0,119,1780995614,6/9/26,12:00:14 PM,98,105,10,37,14
0,120,1780995615,6/9/26,12:00:15 PM,98,103,9.6,37,14
0,121,1780995616,6/9/26,12:00:16 PM,98,100,9,37,14
0,122,1780995617,6/9/26,12:00:17 PM,98,100,9,37,13
0,123,1780995618,6/9/26,12:00:18 PM,98,100,8.7,36,13
0,124,1780995619,6/9/26,12:00:19 PM,98,97,8.6,36,13
0,125,1780995620,6/9/26,12:00:20 PM,98,85,8.9,36,13
0,126,1780995621,6/9/26,12:00:21 PM,98,79,9.2,36,13
0,127,1780995622,6/9/26,12:00:22 PM,98,79,10,36,13
0,128,1780995623,6/9/26,12:00:23 PM,98,70,11,36,12
0,129,1780995624,6/9/26,12:00:24 PM,98,70,11,36,12
0,130,1780995625,6/9/26,12:00:25 PM,98,70,11,36,12
0,131,1780995626,6/9/26,12:00:26 PM,98,72,11,36,12
0,132,1780995627,6/9/26,12:00:27 PM,98,71,11,36,12
0,133,1780995628,6/9/26,12:00:28 PM,99,65,11,36,12
0,134,1780995629,6/9/26,12:00:29 PM,99,63,12,36,12
0,135,1780995630,6/9/26,12:00:30 PM,99,63,12,36,12
0,136,1780995631,6/9/26,12:00:31 PM,99,62,12,36,12
0,137,1780995632,6/9/26,12:00:32 PM,99,62,13,36,12
0,138,1780995633,6/9/26,12:00:33 PM,99,66,13,36,12
0,139,1780995635,6/9/26,12:00:35 PM,99,65,13,35,12
0,140,1780995636,6/9/26,12:00:36 PM,99,64,13,35,12
0,141,1780995637,6/9/26,12:00:37 PM,99,64,13,35,12
0,142,1780995638,6/9/26,12:00:38 PM,99,64,13,35,12
0,143,1780995639,6/9/26,12:00:39 PM,98,60,13,35,12
0,144,1780995640,6/9/26,12:00:40 PM,98,61,12,35,12
0,145,1780995641,6/9/26,12:00:41 PM,98,62,12,35,12
0,146,1780995642,6/9/26,12:00:42 PM,98,63,12,35,12
0,147,1780995643,6/9/26,12:00:43 PM,98,62,12,35,16
0,148,1780995644,6/9/26,12:00:44 PM,98,62,12,35,16
0,149,1780995645,6/9/26,12:00:45 PM,98,62,12,35,16
0,150,1780995646,6/9/26,12:00:46 PM,98,61,12,35,16
0,151,1780995647,6/9/26,12:00:47 PM,98,65,12,34,16
0,152,1780995648,6/9/26,12:00:48 PM,98,64,13,34,16
0,153,1780995649,6/9/26,12:00:49 PM,98,64,13,34,16
0,154,1780995650,6/9/26,12:00:50 PM,98,65,13,34,16
0,155,1780995651,6/9/26,12:00:51 PM,98,65,13,34,16
0,156,1780995652,6/9/26,12:00:52 PM,98,65,13,34,16
0,157,1780995653,6/9/26,12:00:53 PM,98,67,13,34,16
0,158,1780995654,6/9/26,12:00:54 PM,98,68,13,34,16
0,159,1780995655,6/9/26,12:00:55 PM,98,68,13,34,16
0,160,1780995656,6/9/26,12:00:56 PM,98,71,13,33,16
0,161,1780995657,6/9/26,12:00:57 PM,98,71,13,33,16
0,162,1780995658,6/9/26,12:00:58 PM,98,71,12,33,16
