Session,Index,Timestamp,Date,Time,O2 Saturation,Beats / min,Perfusion Index,Pleth Variability,Breaths / min
0,38,1781364995,6/13/26,6:36:35 PM,98,75,11,32,9
0,39,1781364996,6/13/26,6:36:36 PM,98,74,11,32,9
0,40,1781364997,6/13/26,6:36:37 PM,98,74,11,32,9
0,41,1781364998,6/13/26,6:36:38 PM,98,72,11,32,9
0,42,1781364999,6/13/26,6:36:39 PM,98,73,11,32,9
0,43,1781365000,6/13/26,6:36:40 PM,98,73,11,32,9
0,44,1781365001,6/13/26,6:36:41 PM,97,73,11,32,9
0,45,1781365002,6/13/26,6:36:42 PM,97,73,11,32,9
0,46,1781365003,6/13/26,6:36:43 PM,97,75,11,32,9
0,47,1781365004,6/13/26,6:36:44 PM,97,75,11,32,9
0,48,1781365005,6/13/26,6:36:45 PM,97,76,11,33,10
0,49,1781365006,6/13/26,6:36:46 PM,97,75,11,33,10
0,50,1781365007,6/13/26,6:36:47 PM,97,75,11,33,10
0,51,1781365008,6/13/26,6:36:48 PM,97,75,11,33,10
0,52,1781365009,6/13/26,6:36:49 PM,97,74,11,33,10
0,53,1781365010,6/13/26,6:36:50 PM,97,74,11,33,10
0,54,1781365011,6/13/26,6:36:51 PM,97,74,12,33,10
0,55,1781365012,6/13/26,6:36:52 PM,97,76,7.2,33,10
0,56,1781365013,6/13/26,6:36:53 PM,97,76,7.2,33,10
0,57,1781365014,6/13/26,6:36:54 PM,97,76,5.1,33,10
0,58,1781365015,6/13/26,6:36:55 PM,97,78,4.3,33,10
0,59,1781365016,6/13/26,6:36:56 PM,97,78,4,33,10
0,60,1781365018,6/13/26,6:36:58 PM,97,78,3.9,33,10
0,61,1781365019,6/13/26,6:36:59 PM,97,78,3.9,33,10
0,62,1781365020,6/13/26,6:37:00 PM,97,78,3.9,33,10
0,63,1781365021,6/13/26,6:37:01 PM,97,78,3.9,33,10
0,64,1781365022,6/13/26,6:37:02 PM,97,77,3.9,33,10
0,65,1781365023,6/13/26,6:37:03 PM,97,77,3.9,33,10
0,66,1781365024,6/13/26,6:37:04 PM,97,76,3.9,33,10
0,67,1781365025,6/13/26,6:37:05 PM,97,90,8.7,33,10
0,68,1781365026,6/13/26,6:37:06 PM,97,90,10,33,10
0,69,1781365027,6/13/26,6:37:07 PM,97,90,10,33,10
0,70,1781365028,6/13/26,6:37:08 PM,97,90,11,33,10
0,71,1781365029,6/13/26,6:37:09 PM,97,90,11,33,10
0,72,1781365030,6/13/26,6:37:10 PM,98,99,10,33,10
0,73,1781365031,6/13/26,6:37:11 PM,98,104,8.8,33,10
0,74,1781365032,6/13/26,6:37:12 PM,98,104,7.7,33,10
0,75,1781365033,6/13/26,6:37:13 PM,98,104,7.7,33,10
0,76,1781365034,6/13/26,6:37:14 PM,98,100,7.3,33,10
0,77,1781365035,6/13/26,6:37:15 PM,98,95,7.1,33,10
0,78,1781365036,6/13/26,6:37:16 PM,98,92,7.3,33,10
